epoch,start_height,end_height,target,target_hex,epoch_minimum,epoch_minimum_hex,epoch_minimum_height,pre_g1,pre_g2,pre_g2_over_g1,lambda,deposit,transition_class,crossing_count,selective_opportunity,deeper_records_after_first_crossing,max_shallow_over_deep,post_g1,post_g2
13,26208,28223,26959535291011309493156476344723991336010898738574164086137773096960,00000000ffff0000000000000000000000000000000000000000000000000000,2859056092730608650588601165456803074628174872043260428343959445,000000000006f331e9d9d8736bb012fee2193cb978f621fe9bd7e181a1a5df95,26561,1565415003981129441392911171126354873809825239318232733315441298,2526786619157105117027877339621716722609817530999190765092884627,1.6141321072885058,0.18894991212697707,False,neither,0,False,0,,1565415003981129441392911171126354873809825239318232733315441298,2526786619157105117027877339621716722609817530999190765092884627
14,28224,30239,26959535291011309493156476344723991336010898738574164086137773096960,00000000ffff0000000000000000000000000000000000000000000000000000,9246389020001048859573426808943386656278504945320844224023962322,0000000000167a0ac1681ac3ad6d085ac5e6c1450a5420f59bb6d3843a5322d2,29919,1565415003981129441392911171126354873809825239318232733315441298,2526786619157105117027877339621716722609817530999190765092884627,1.6141321072885058,0.18894991212697707,False,neither,0,False,0,,1565415003981129441392911171126354873809825239318232733315441298,2526786619157105117027877339621716722609817530999190765092884627
15,30240,32255,26959535291011309493156476344723991336010898738574164086137773096960,00000000ffff0000000000000000000000000000000000000000000000000000,9116643288173309462485879984994597954929775229404118424833090783,000000000016294d1162587f28a32b84df6644c71c1bbbef343830b3bb31e4df,32044,1565415003981129441392911171126354873809825239318232733315441298,2526786619157105117027877339621716722609817530999190765092884627,1.6141321072885058,0.18894991212697707,False,neither,0,False,0,,1565415003981129441392911171126354873809825239318232733315441298,2526786619157105117027877339621716722609817530999190765092884627
16,32256,34271,22791060871177364286867400663010583169263383106957897897309909286912,00000000d86a0000000000000000000000000000000000000000000000000000,32648404744993313619288378643524939187481621719079391118291897711,00000000004f5d26f378d8b7f612911127de1d287e14e84962ca113711180d6f,33434,1565415003981129441392911171126354873809825239318232733315441298,2526786619157105117027877339621716722609817530999190765092884627,1.6141321072885058,0.22350876306345333,False,neither,0,False,0,,1565415003981129441392911171126354873809825239318232733315441298,2526786619157105117027877339621716722609817530999190765092884627
17,34272,36287,20657664212610420653213483117824978239553266057163961604478437687296,00000000c4280000000000000000000000000000000000000000000000000000,4514270310937666647089735149785046133387366468783557046675501454,00000000000af93cc06f8b1e558229cd59cb6e12f47a60bcefdd18be3ae8f18e,35219,1565415003981129441392911171126354873809825239318232733315441298,2526786619157105117027877339621716722609817530999190765092884627,1.6141321072885058,0.24659137508446397,False,neither,0,False,0,,1565415003981129441392911171126354873809825239318232733315441298,2526786619157105117027877339621716722609817530999190765092884627
18,36288,38303,20055820920770189543295303139304627292355830414308479769458683936768,00000000be710000000000000000000000000000000000000000000000000000,1049988913933594941949966789969470860571950113298555193475371516,0000000000028d68e2724dbe8735ba01cb0cec40ad3bd58493106ecfe0d691fc,37009,1565415003981129441392911171126354873809825239318232733315441298,2526786619157105117027877339621716722609817530999190765092884627,1.6141321072885058,0.2539911901060743,True,unique-min,4,False,0,,1049988913933594941949966789969470860571950113298555193475371516,1565415003981129441392911171126354873809825239318232733315441298
19,38304,40319,14823939180767414932263578623363531361763221729526512593941781544960,000000008cc30000000000000000000000000000000000000000000000000000,7519074844700125510723081419129613953802037791890890265890755835,0000000000124721bb3ef073b3bca5facca334603688bf5e2b9c0d80b56194fb,39858,1049988913933594941949966789969470860571950113298555193475371516,1565415003981129441392911171126354873809825239318232733315441298,1.4908871733860343,0.21289055557650916,False,neither,0,False,0,,1049988913933594941949966789969470860571950113298555193475371516,1565415003981129441392911171126354873809825239318232733315441298
20,40320,42335,10665477591887247494381404907447500979192021944764506987270680608768,0000000065465700000000000000000000000000000000000000000000000000,1651577523891878027847341412692003275230813785708475994907023587,00000000000403c77ab96fa96586c783439eb80eaa56fcacac974f64d21718e3,40476,1049988913933594941949966789969470860571950113298555193475371516,1565415003981129441392911171126354873809825239318232733315441298,1.4908871733860343,0.295896421031018,False,neither,0,False,0,,1049988913933594941949966789969470860571950113298555193475371516,1565415003981129441392911171126354873809825239318232733315441298
21,42336,44351,7129927859545590787920041835044506526699926406309469412482969763840,0000000043b3e500000000000000000000000000000000000000000000000000,309507219570222157654829293010359969924187765860613612513380326,000000000000c09b5844620bdec4d533107844efea128a6ec6326dd92f6dc7e6,43011,1049988913933594941949966789969470860571950113298555193475371516,1565415003981129441392911171126354873809825239318232733315441298,1.4908871733860343,0.44262392413982843,True,unique-min,1,False,0,,386269334894100555419319346037768029933462290621508939945613329,1049988913933594941949966789969470860571950113298555193475371516
22,44352,46367,5949911473257063494842414979623989957440207170696926280907451531264,00000000387f6f00000000000000000000000000000000000000000000000000,2701647212100370861013153712626148695092046707072248392804784425,000000000006913d3b6684d6196f18ec0c2897bc6d186494419838ddcaa4d929,45638,386269334894100555419319346037768029933462290621508939945613329,1049988913933594941949966789969470860571950113298555193475371516,2.718281828459045,0.3557662429103965,False,neither,0,False,0,,386269334894100555419319346037768029933462290621508939945613329,1049988913933594941949966789969470860571950113298555193475371516
23,46368,48383,5905492491837656485645884063467495540781288435542782321354050895872,0000000038137500000000000000000000000000000000000000000000000000,6053067774439263699396713469131854541020463891550582459985658459,00000000000eb6d554b5d5920f7b418eb169b8b5435425ffc8ca63a0236d825b,46628,386269334894100555419319346037768029933462290621508939945613329,1049988913933594941949966789969470860571950113298555193475371516,2.718281828459045,0.3584421880843732,False,neither,0,False,0,,386269334894100555419319346037768029933462290621508939945613329,1049988913933594941949966789969470860571950113298555193475371516
24,48384,50399,4430143390146946405787502162943966061454423600514874825749833973760,000000002a111500000000000000000000000000000000000000000000000000,398703787641718174594659538255963405145859925952655564840470303,000000000000f81d2d8b0ce0911b25c380a30398f740d6806834167e27d1871f,50314,386269334894100555419319346037768029933462290621508939945613329,1049988913933594941949966789969470860571950113298555193475371516,2.718281828459045,0.4778124462512972,True,new-second,2,True,1,1.7385966293349944,386269334894100555419319346037768029933462290621508939945613329,398703787641718174594659538255963405145859925952655564840470303
25,50400,52415,3447600406241317909690675945127070282093452846402311540118831235072,0000000020bca700000000000000000000000000000000000000000000000000,1491082559340194391481006113885131971822964627816163043572322225,0000000000039fe7280a966c7c75922276b88df41a9ad06a5072529bbd5a0fb1,51952,386269334894100555419319346037768029933462290621508939945613329,398703787641718174594659538255963405145859925952655564840470303,1.0321911464989233,0.2331438511350036,False,neither,0,False,0,,386269334894100555419319346037768029933462290621508939945613329,398703787641718174594659538255963405145859925952655564840470303
