geology,scenario,alpha,model,policy,horizon,trials,honest_deposits_mean,attack_deposits_mean,delta_mean,elasticity,delta_median,delta_p90,delta_p95,delta_p99,delta_maximum,maximum_prefix_delta_observed,probability_any_state_raising_selection,registered_conditional_success_probability,honest_k0_epochs_mean,honest_k1_epochs_mean,honest_k_ge_2_epochs_mean,honest_exact_p_k0_epochs_mean,honest_exact_p_k1_epochs_mean,honest_exact_p_k_ge_2_epochs_mean,attacked_counterfactual_k0_epochs_mean,attacked_counterfactual_k1_epochs_mean,attacked_counterfactual_k_ge_2_epochs_mean,attacked_counterfactual_exact_p_k0_epochs_mean,attacked_counterfactual_exact_p_k1_epochs_mean,attacked_counterfactual_exact_p_k_ge_2_epochs_mean,actual_attacked_k0_epochs_mean,actual_attacked_k1_epochs_mean,actual_attacked_k_ge_2_epochs_mean,selectable_epochs_mean,selection_attempt_epochs_mean,state_raising_selection_epochs_mean,harmful_selection_epochs_mean,discarded_valid_candidates_mean,replacement_discoveries_mean,attacker_replacements_mean,honest_replacements_mean,withheld_bitcoin_blocks_mean,bitcoin_reward_cost_mean_R,extra_sha_trials_mean,R_per_expected_global_marginal_deposit,attacker_captured_marginal_deposits_retain_share,R_per_expected_attacker_captured_deposit,divergence_duration_mean,probability_reconvergence_given_divergence,reconvergence_time_mean_given_observed,probability_terminal_state_diverged,terminal_g1_relative_difference_mean,terminal_g2_relative_difference_mean,private_fork_or_orphan_cost_R,latency_cost_R
c10-eclip,A-constant,0.01,A,state-aware,800,256,6.41796875,6.41796875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,793.58203125,6.375,0.04296875,793.4396205860021,6.516094926065627,0.0442844879316931,793.58203125,6.375,0.04296875,793.4396205860021,6.516094926065627,0.0442844879316931,793.58203125,6.375,0.04296875,0.04296875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0
c10-eclip,A-constant,0.01,A,state-aware,2000,128,8.640625,8.640625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1991.359375,8.6015625,0.0390625,1991.1461774987235,8.806777447703526,0.04704505357186598,1991.359375,8.6015625,0.0390625,1991.1461774987235,8.806777447703526,0.04704505357186598,1991.359375,8.6015625,0.0390625,0.0390625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0
c10-eclip,A-constant,0.01,A,state-aware,10000,32,12.46875,12.46875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,9987.53125,12.46875,0.0,9987.140806198033,12.81335429013692,0.04583951154463713,9987.53125,12.46875,0.0,9987.140806198033,12.81335429013692,0.04583951154463713,9987.53125,12.46875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0
c10-eclip,A-constant,0.01,A,state-aware,100000,4,19.25,19.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,99980.75,19.25,0.0,99979.96179613323,19.99198266780636,0.046221276136541325,99980.75,19.25,0.0,99979.96179613323,19.99198266780636,0.046221276136541325,99980.75,19.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0
c10-eclip,A-constant,0.01,B,honest-publication,100,512,1.9765625,1.9765625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,98.0234375,1.9609375,0.015625,97.99752794152928,1.980953355402069,0.021518703068596975,98.0234375,1.9609375,0.015625,97.99752794152928,1.980953355402069,0.021518703068596975,98.0234375,1.9609375,0.015625,0.015625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0
c10-eclip,A-constant,0.01,B,honest-publication,476,256,5.0078125,5.0078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,470.9921875,4.96484375,0.04296875,470.89765143946596,5.062899004078913,0.03944955645439671,470.9921875,4.96484375,0.04296875,470.89765143946596,5.062899004078913,0.03944955645439671,470.9921875,4.96484375,0.04296875,0.04296875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0
c10-eclip,A-constant,0.01,B,honest-publication,800,256,6.24609375,6.24609375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,793.75390625,6.19921875,0.046875,793.7164143106265,6.241335878448985,0.04224981092438085,793.75390625,6.19921875,0.046875,793.7164143106265,6.241335878448985,0.04224981092438085,793.75390625,6.19921875,0.046875,0.046875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0
c10-eclip,A-constant,0.01,B,honest-publication,2000,128,8.6484375,8.6484375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1991.3515625,8.609375,0.0390625,1991.5112128626731,8.44289529858428,0.045891838742658966,1991.3515625,8.609375,0.0390625,1991.5112128626731,8.44289529858428,0.045891838742658966,1991.3515625,8.609375,0.0390625,0.0390625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0
c10-eclip,A-constant,0.01,B,honest-publication,10000,32,13.46875,13.46875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,9986.53125,13.46875,0.0,9987.183539201951,12.772250761438343,0.044210036465180125,9986.53125,13.46875,0.0,9987.183539201951,12.772250761438343,0.044210036465180125,9986.53125,13.46875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0
c10-eclip,A-constant,0.01,B,honest-publication,100000,4,20.25,20.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,99979.75,20.25,0.0,99981.7282941014,18.221848141690067,0.04985769569841428,99979.75,20.25,0.0,99981.7282941014,18.221848141690067,0.04985769569841428,99979.75,20.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0
