geology,scenario,alpha,model,policy,horizon,trials,honest_deposits_mean,attack_deposits_mean,delta_mean,elasticity,delta_median,delta_p90,delta_p95,delta_p99,delta_maximum,maximum_prefix_delta_observed,probability_any_state_raising_selection,registered_conditional_success_probability,honest_k0_epochs_mean,honest_k1_epochs_mean,honest_k_ge_2_epochs_mean,attacked_counterfactual_k0_epochs_mean,attacked_counterfactual_k1_epochs_mean,attacked_counterfactual_k_ge_2_epochs_mean,actual_attacked_k0_epochs_mean,actual_attacked_k1_epochs_mean,actual_attacked_k_ge_2_epochs_mean,honest_exact_p_k0_epochs_mean,honest_exact_p_k1_epochs_mean,honest_exact_p_k_ge_2_epochs_mean,attacked_counterfactual_exact_p_k0_epochs_mean,attacked_counterfactual_exact_p_k1_epochs_mean,attacked_counterfactual_exact_p_k_ge_2_epochs_mean,selectable_epochs_mean,selection_attempt_epochs_mean,state_raising_selection_epochs_mean,harmful_selection_epochs_mean,discarded_valid_candidates_mean,replacement_discoveries_mean,attacker_replacements_mean,honest_replacements_mean,withheld_bitcoin_blocks_mean,bitcoin_reward_cost_mean_R,extra_sha_trials_mean,R_per_expected_global_marginal_deposit,attacker_captured_marginal_deposits_retain_share,R_per_expected_attacker_captured_deposit,divergence_duration_mean,probability_reconvergence_given_divergence,reconvergence_time_mean_given_observed,probability_terminal_state_diverged,terminal_g1_relative_difference_mean,terminal_g2_relative_difference_mean,private_fork_or_orphan_cost_R,latency_cost_R
c10-eclip,H-adaptive-lambda-half,0.3,B,prefer-shallow,10000,32,3928.875,3934.65625,5.78125,0.0014714772040342336,6.0,11.0,11.0,11.0,11.0,11.0,1.0,,6071.125,3025.75,903.125,6065.34375,3027.625,907.03125,6065.34375,3035.40625,899.25,6065.677859476828,3032.6794142102044,901.6427263138545,6059.955922442088,3034.6101568685813,905.433920690216,907.03125,10.125,9.34375,0.0,10.375,10.375,10.375,0.0,0.0,0.0,2.035794386881232e+72,,1.734375,,82.25,1.0,12.125,0.0,0.0,0.0,0.0,0.0
c10-eclip,H-adaptive-lambda-half,0.5,A,prefer-shallow,100,256,38.5,39.93359375,1.43359375,0.037236201298701296,1.0,4.0,5.0,8.0,10.0,10.0,0.8984375,,61.5,29.58203125,8.91796875,60.06640625,30.02734375,9.90625,60.06640625,32.0078125,7.92578125,61.39623545815319,29.794268540337004,8.809496001509887,59.94598121665797,30.25530615857646,9.798712624765638,9.90625,2.43359375,2.3671875,0.0,2.6328125,2.6328125,1.29296875,1.33984375,2.6328125,2.6328125,3.598732650912963e+32,1.8365122615803815,0.716796875,3.673024523160763,18.91796875,0.9391304347826087,12.041666666666666,0.23828125,6.893800678198735e-13,4.5326072391665784e-13,0.0,0.0
c10-eclip,H-adaptive-lambda-half,0.5,A,prefer-shallow,476,256,186.7421875,194.19921875,7.45703125,0.03993222608040832,7.0,13.0,15.0,22.0,25.0,25.0,1.0,,289.2578125,143.703125,43.0390625,281.80078125,146.1640625,48.03515625,281.80078125,156.08203125,38.1171875,289.43762126243865,143.84324739954005,42.719131338019466,281.79865343561926,146.2478837697451,47.953462794634284,48.03515625,12.32421875,11.85546875,0.0,13.1953125,13.1953125,6.70703125,6.48828125,13.1953125,13.1953125,1.3742759911631864e+65,1.7695128339444735,3.728515625,3.539025667888947,100.3125,1.0,12.70703125,0.2109375,1.6062229243499046e-38,1.1668053852526699e-38,0.0,0.0
c10-eclip,H-adaptive-lambda-half,0.5,A,prefer-shallow,800,256,315.16015625,325.62890625,10.46875,0.03321723825931756,10.0,17.0,20.0,25.0,28.0,28.0,1.0,,484.83984375,243.24609375,71.9140625,474.37109375,246.59765625,79.03125,474.37109375,260.546875,65.08203125,485.94136860442796,242.11949513991718,71.9391362556501,475.1999385676845,245.48326986136783,79.31679157094311,79.03125,17.37109375,16.70703125,0.0,18.6015625,18.6015625,9.37890625,9.22265625,18.6015625,18.6015625,3.4541228544292735e+72,1.776865671641791,5.234375,3.553731343283582,140.21484375,1.0,12.70703125,0.0,0.0,0.0,0.0,0.0
c10-eclip,H-adaptive-lambda-half,0.5,A,prefer-shallow,2000,128,787.890625,798.890625,11.0,0.013961328705999008,10.0,18.0,20.0,27.0,28.0,28.0,1.0,,1212.109375,607.1484375,180.7421875,1201.109375,610.8828125,188.0078125,1201.109375,625.1171875,173.7734375,1213.7322673069934,606.1062066791121,180.16152601391656,1202.6682563431311,609.5226111288137,187.80913252807645,188.0078125,17.4453125,16.9140625,0.0,18.78125,18.78125,9.5625,9.21875,18.78125,18.78125,3.715927406485221e+72,1.7073863636363635,5.5,3.414772727272727,141.5078125,1.0,12.2421875,0.0,0.0,0.0,0.0,0.0
c10-eclip,H-adaptive-lambda-half,0.5,A,prefer-shallow,10000,32,3936.8125,3947.625,10.8125,0.0027465112956230452,11.0,17.0,20.0,22.0,22.0,22.0,1.0,,6063.1875,3042.5625,894.25,6052.375,3046.34375,901.28125,6052.375,3061.125,886.5,6065.674940398313,3032.6813116984918,901.6437479040832,6054.58992471786,3036.180682129791,909.2293931532325,901.28125,18.03125,17.59375,0.0,19.09375,19.09375,9.6875,9.40625,19.09375,19.09375,5.391994377923661e+72,1.7658959537572254,5.40625,3.531791907514451,144.65625,1.0,9.3125,0.0,0.0,0.0,0.0,0.0
c10-eclip,H-adaptive-lambda-half,0.5,B,prefer-shallow,100,256,38.00390625,39.37890625,1.375,0.036180491314626376,1.0,4.0,5.0,7.0,11.0,11.0,0.87109375,,61.99609375,29.6015625,8.40234375,60.62109375,29.9453125,9.43359375,60.62109375,31.828125,7.55078125,61.39492371356072,29.795130280667976,8.809946005771387,59.984800145350285,30.22101359659366,9.79418625805612,9.43359375,2.359375,2.2421875,0.0,2.55078125,2.55078125,2.55078125,0.0,0.0,0.0,3.938424478483634e+32,,0.6875,,17.77734375,0.9372197309417041,11.507177033492823,0.26171875,8.473156407843882e-13,5.935945526199205e-13,0.0,0.0
c10-eclip,H-adaptive-lambda-half,0.5,B,prefer-shallow,476,256,186.859375,194.8203125,7.9609375,0.04260389664687683,8.0,14.0,16.0,19.0,20.0,20.0,1.0,,289.140625,144.57421875,42.28515625,281.1796875,146.90625,47.9140625,281.1796875,156.88671875,37.93359375,289.43630951784615,143.84410913987102,42.71958134228096,281.51739273329946,146.28287531626933,48.199731950429864,47.9140625,12.61328125,12.1171875,0.0,13.5078125,13.5078125,13.5078125,0.0,0.0,0.0,8.266261377173957e+64,,3.98046875,,101.47265625,1.0,12.140625,0.25,2.2459099257113107e-37,5.495738554610058e-37,0.0,0.0
c10-eclip,H-adaptive-lambda-half,0.5,B,prefer-shallow,800,256,314.01953125,325.23828125,11.21875,0.035726280958837654,11.0,18.0,20.0,23.0,28.0,28.0,1.0,,485.98046875,242.0703125,71.94921875,474.76171875,245.59375,79.64453125,474.76171875,259.55859375,65.6796875,485.94005685983547,242.12035688024815,71.9395862599116,474.86016165163716,245.5575494185053,79.58228892985298,79.64453125,17.59765625,16.91015625,0.0,18.8671875,18.8671875,18.8671875,0.0,0.0,0.0,3.955844593100821e+72,,5.609375,,142.3671875,1.0,12.140625,0.0,0.0,0.0,0.0,0.0
c10-eclip,H-adaptive-lambda-half,0.5,B,prefer-shallow,2000,128,787.796875,798.921875,11.125,0.014121660485134573,11.0,18.0,20.0,22.0,23.0,23.0,1.0,,1212.203125,607.2578125,180.5390625,1201.078125,610.6796875,188.2421875,1201.078125,624.6640625,174.2578125,1213.7306608717604,606.1071300876341,180.16220904062737,1202.6152782320924,609.5233494640997,187.86137230382923,188.2421875,17.671875,17.046875,0.0,18.9765625,18.9765625,18.9765625,0.0,0.0,0.0,4.0455702739430715e+72,,5.5625,,143.421875,1.0,12.5703125,0.0,0.0,0.0,0.0,0.0
c10-eclip,H-adaptive-lambda-half,0.5,B,prefer-shallow,10000,32,3934.09375,3945.34375,11.25,0.002859616652500973,11.0,16.0,18.0,23.0,23.0,23.0,1.0,,6065.90625,3033.59375,900.5,6054.65625,3037.15625,908.1875,6054.65625,3050.375,894.96875,6065.677171022291,3032.679791963536,901.64303701506,6055.0054528551545,3036.007654484916,908.9868926608128,908.1875,17.15625,16.5,0.0,18.3125,18.3125,18.3125,0.0,0.0,0.0,3.2551761591311006e+72,,5.625,,138.90625,1.0,12.5625,0.0,0.0,0.0,0.0,0.0
