epoch,target,epoch_minimum,epoch_minimum_height,pre_g1,pre_g2,post_g1,post_g2,transition,deposit,ratio_g2_g1,q,lambda,canonical_k,qualifier_hashes,qualifier_heights,ownership,network_selection_opportunity
13,26959535291011309493156476344723991336010898738574164086137773096960,2859056092730608650588601165456803074628174872043260428343959445,26561,1565415003981129441392911171126354873809825239318232733315441298,2526786619157105117027877339621716722609817530999190765092884627,1565415003981129441392911171126354873809825239318232733315441298,2526786619157105117027877339621716722609817530999190765092884627,neither,False,1.614132107288505771571133402,0.00009372515482488941589637861117,0.1889499121269770624470992801,0,,,unspecified,False
14,26959535291011309493156476344723991336010898738574164086137773096960,9246389020001048859573426808943386656278504945320844224023962322,29919,1565415003981129441392911171126354873809825239318232733315441298,2526786619157105117027877339621716722609817530999190765092884627,1565415003981129441392911171126354873809825239318232733315441298,2526786619157105117027877339621716722609817530999190765092884627,neither,False,1.614132107288505771571133402,0.00009372515482488941589637861117,0.1889499121269770624470992801,0,,,unspecified,False
15,26959535291011309493156476344723991336010898738574164086137773096960,9116643288173309462485879984994597954929775229404118424833090783,32044,1565415003981129441392911171126354873809825239318232733315441298,2526786619157105117027877339621716722609817530999190765092884627,1565415003981129441392911171126354873809825239318232733315441298,2526786619157105117027877339621716722609817530999190765092884627,neither,False,1.614132107288505771571133402,0.00009372515482488941589637861117,0.1889499121269770624470992801,0,,,unspecified,False
16,22791060871177364286867400663010583169263383106957897897309909286912,32648404744993313619288378643524939187481621719079391118291897711,33434,1565415003981129441392911171126354873809825239318232733315441298,2526786619157105117027877339621716722609817530999190765092884627,1565415003981129441392911171126354873809825239318232733315441298,2526786619157105117027877339621716722609817530999190765092884627,neither,False,1.614132107288505771571133402,0.0001108674419957605839278216000,0.2235087630634533371984883456,0,,,unspecified,False
17,20657664212610420653213483117824978239553266057163961604478437687296,4514270310937666647089735149785046133387366468783557046675501454,35219,1565415003981129441392911171126354873809825239318232733315441298,2526786619157105117027877339621716722609817530999190765092884627,1565415003981129441392911171126354873809825239318232733315441298,2526786619157105117027877339621716722609817530999190765092884627,neither,False,1.614132107288505771571133402,0.0001223171503395158489479283950,0.2465913750844639514790236443,0,,,unspecified,False
18,20055820920770189543295303139304627292355830414308479769458683936768,1049988913933594941949966789969470860571950113298555193475371516,37009,1565415003981129441392911171126354873809825239318232733315441298,2526786619157105117027877339621716722609817530999190765092884627,1049988913933594941949966789969470860571950113298555193475371516,1565415003981129441392911171126354873809825239318232733315441298,unique-min,True,1.490887173386034331680249253,0.0001259876935049971872657923058,0.2539911901060743295278372884,4,0000000000028d68e2724dbe8735ba01cb0cec40ad3bd58493106ecfe0d691fc;000000000003222c5128575d34825bb0bf353c58959ef6c0aef8d6aaac36327c;000000000003eff1587f404d431ae4c8c8d4b81f060c19801bcfca1a5c50c177;000000000005e1f0fabbae9932fedfeb52c191fc70234bb21aa27faa59691d44,37009;37382;37270;37342,unspecified,True
19,14823939180767414932263578623363531361763221729526512593941781544960,7519074844700125510723081419129613953802037791890890265890755835,39858,1049988913933594941949966789969470860571950113298555193475371516,1565415003981129441392911171126354873809825239318232733315441298,1049988913933594941949966789969470860571950113298555193475371516,1565415003981129441392911171126354873809825239318232733315441298,neither,False,1.490887173386034331680249253,0.0001056004739962843034812053820,0.2128905555765091558181100502,0,,,unspecified,False
20,10665477591887247494381404907447500979192021944764506987270680608768,1651577523891878027847341412692003275230813785708475994907023587,40476,1049988913933594941949966789969470860571950113298555193475371516,1565415003981129441392911171126354873809825239318232733315441298,1049988913933594941949966789969470860571950113298555193475371516,1565415003981129441392911171126354873809825239318232733315441298,neither,False,1.490887173386034331680249253,0.0001467740183685605159090259772,0.2958964210310180000725963700,0,,,unspecified,False
21,7129927859545590787920041835044506526699926406309469412482969763840,309507219570222157654829293010359969924187765860613612513380326,43011,1049988913933594941949966789969470860571950113298555193475371516,1565415003981129441392911171126354873809825239318232733315441298,386269334894100555419319346037768029933462290621508939945613329,1049988913933594941949966789969470860571950113298555193475371516,unique-min,True,2.718281828459045235360287471,0.0002195555179265022032497394956,0.4426239241398284417514748232,1,000000000000c09b5844620bdec4d533107844efea128a6ec6326dd92f6dc7e6,43011,unspecified,False
22,5949911473257063494842414979623989957440207170696926280907451531264,2701647212100370861013153712626148695092046707072248392804784425,45638,386269334894100555419319346037768029933462290621508939945613329,1049988913933594941949966789969470860571950113298555193475371516,386269334894100555419319346037768029933462290621508939945613329,1049988913933594941949966789969470860571950113298555193475371516,neither,False,2.718281828459045235360287471,0.0001764713506499982507911705461,0.3557662429103964735949998210,0,,,unspecified,False
23,5905492491837656485645884063467495540781288435542782321354050895872,6053067774439263699396713469131854541020463891550582459985658459,46628,386269334894100555419319346037768029933462290621508939945613329,1049988913933594941949966789969470860571950113298555193475371516,386269334894100555419319346037768029933462290621508939945613329,1049988913933594941949966789969470860571950113298555193475371516,neither,False,2.718281828459045235360287471,0.0001777987044069311820693102388,0.3584421880843732630517294415,0,,,unspecified,False
24,4430143390146946405787502162943966061454423600514874825749833973760,398703787641718174594659538255963405145859925952655564840470303,50314,386269334894100555419319346037768029933462290621508939945613329,1049988913933594941949966789969470860571950113298555193475371516,386269334894100555419319346037768029933462290621508939945613329,398703787641718174594659538255963405145859925952655564840470303,new-second,True,1.032191146498923202666324734,0.0002370101419897307552948958406,0.4778124462512972026745100148,2,000000000000f81d2d8b0ce0911b25c380a30398f740d6806834167e27d1871f;000000000001af5ec05c35ae5fb542732122839c00ad4ffe8043d747eaba7898,50314;48615,unspecified,True
25,3447600406241317909690675945127070282093452846402311540118831235072,1491082559340194391481006113885131971822964627816163043572322225,51952,386269334894100555419319346037768029933462290621508939945613329,398703787641718174594659538255963405145859925952655564840470303,386269334894100555419319346037768029933462290621508939945613329,398703787641718174594659538255963405145859925952655564840470303,neither,False,1.032191146498923202666324734,0.0001156467515550613211776246706,0.2331438511350036234940913359,0,,,unspecified,False
26,2351604382534916182160036119666703740669209516522695514729880748032,1394440931418869444694502824466643903633238060345743134358715276,53692,386269334894100555419319346037768029933462290621508939945613329,398703787641718174594659538255963405145859925952655564840470303,386269334894100555419319346037768029933462290621508939945613329,398703787641718174594659538255963405145859925952655564840470303,neither,False,1.032191146498923202666324734,0.0001695454348541121139481848294,0.3418035966658900217195406161,0,,,unspecified,False
27,2098151686442211199940455690614286210348997571531298297574806519808,291294114190283069630871810297646705120497703302853918925161434,55593,386269334894100555419319346037768029933462290621508939945613329,398703787641718174594659538255963405145859925952655564840470303,291294114190283069630871810297646705120497703302853918925161434,386269334894100555419319346037768029933462290621508939945613329,unique-min,True,1.326045793845928830869578726,0.0001900261979236550114664672180,0.3830928150140885031163979115,1,000000000000b545d467b95ad844b8c718f9b76e9426e4efab7e097ca09a83da,55593,unspecified,False
28,2275790652544821279950241890112140030244814501479017131553197129728,1402512810606278733750596373811023235674880215715260047349487546,56758,291294114190283069630871810297646705120497703302853918925161434,386269334894100555419319346037768029933462290621508939945613329,291294114190283069630871810297646705120497703302853918925161434,386269334894100555419319346037768029933462290621508939945613329,neither,False,1.326045793845928830869578726,0.0001697297308353774652115843899,0.3421751373641209698665541301,0,,,unspecified,False
29,1622203955679450683159610732218403647246163922223729367236739072000,256504973721886974571032644602212583296932206772138563793897041,60040,291294114190283069630871810297646705120497703302853918925161434,386269334894100555419319346037768029933462290621508939945613329,256504973721886974571032644602212583296932206772138563793897041,291294114190283069630871810297646705120497703302853918925161434,unique-min,True,1.135627547347740253115831293,0.0002381139150485636025771884472,0.4800376527379042227956119095,2,0000000000009f9f9991befc49dc787a190206d1dd32467b687e32157d48c651;000000000000b775469bf0161dcda5958a114c60d5ee1a16a081e45c010d70e8,60040;58970,unspecified,True
30,1551048739079662593758612650769536967206480773659027300489594142720,37670094100254190824844625878992154354875557412862966526794103,61068,256504973721886974571032644602212583296932206772138563793897041,291294114190283069630871810297646705120497703302853918925161434,94362906390503277866051824525164026635549157805116629904227484,256504973721886974571032644602212583296932206772138563793897041,unique-min,True,2.718281828459045235360287471,0.0001878046168704709328486985685,0.3786141076108694006229763141,1,000000000000177131355902f9a7a9d94d1f57aba9ef4430bb01123190325977,61068,unspecified,False
31,1389323280429349294447518501872137680563441219958739463959193059328,120609841907186578160624578467058918583427224727242525647576902,63048,94362906390503277866051824525164026635549157805116629904227484,256504973721886974571032644602212583296932206772138563793897041,94362906390503277866051824525164026635549157805116629904227484,120609841907186578160624578467058918583427224727242525647576902,new-second,True,1.278148867183734845179473403,0.0001846258371504564449921991663,0.3722056876953201931042735192,1,0000000000004b0e41a07353bbc38b644df42c26cb819e94c381a5783a281f46,63048,unspecified,False
32,1147152896345386682952518188670047452875537662186691235300769792000,297268162747583661276165122677045971158416997635484274015407156,65886,94362906390503277866051824525164026635549157805116629904227484,120609841907186578160624578467058918583427224727242525647576902,94362906390503277866051824525164026635549157805116629904227484,120609841907186578160624578467058918583427224727242525647576902,neither,False,1.278148867183734845179473403,0.0001051384190297795912647524623,0.2119590527640356559897409639,0,,,unspecified,False
33,594007861936424273334637371358095438347537381057796937154824241152,247774743152858573765060274373667844011084562367027358832797219,66997,94362906390503277866051824525164026635549157805116629904227484,120609841907186578160624578467058918583427224727242525647576902,94362906390503277866051824525164026635549157805116629904227484,120609841907186578160624578467058918583427224727242525647576902,neither,False,1.278148867183734845179473403,0.0002030441844894222287830856156,0.4093370759306752132267006011,0,,,unspecified,False
34,148501965484106068333659342839523859586884345264449234288706060288,79780010462417563489560590902529856414686783958388746275620371,69446,94362906390503277866051824525164026635549157805116629904227484,120609841907186578160624578467058918583427224727242525647576902,79780010462417563489560590902529856414686783958388746275620371,94362906390503277866051824525164026635549157805116629904227484,unique-min,True,1.182788844518331625444170787,0.0008121767379576889151323424625,1.637348303722700852906802405,2,00000000000031a5b05df6bc5e585bd69016aab365e9fd8bdaef265094198613;00000000000038b590326c45134b260011c9997d9633c04415b17b13af80a35c,69446;69129,unspecified,True
35,110393429764504113949181711819653188468070301266890302199533928448,75097868263358893692264649001666853149799932669383560656905880,71253,79780010462417563489560590902529856414686783958388746275620371,94362906390503277866051824525164026635549157805116629904227484,75097868263358893692264649001666853149799932669383560656905880,79780010462417563489560590902529856414686783958388746275620371,unique-min,True,1.062347205151536110502933698,0.0008547873418898405487484496897,1.723251281249918546276874574,1,0000000000002ebbc7d88175555a0941f76cb113a305bdc5631f66b0c1e0e698,71253,unspecified,False
36,76554528428498296726819074079132986384157750623812250673757552640,1977001647326197632819774152025058243573992905097744200096548,73373,75097868263358893692264649001666853149799932669383560656905880,79780010462417563489560590902529856414686783958388746275620371,27626961809891063475833798728672729363853427172494316251339001,75097868263358893692264649001666853149799932669383560656905880,unique-min,True,2.718281828459045235360287471,0.001042133131770667981432054028,2.100940393649666650567020921,3,000000000000013af45c4ac4814ab12a69a6e65a40db0e1e3844fcb2ecaddb24;000000000000117a3393b93186cbfae7469e2008cb1ebc3e09530b0c77f40f42;0000000000001aeb6333dd07114dd4baf7e992a52272f75f81466c5d951047c9,73373;73708;73998,unspecified,True
37,52678642966898219212816601311127992435882858542187514726849708032,7373369962077059134556911514387136090145994389338915963380463,75382,27626961809891063475833798728672729363853427172494316251339001,75097868263358893692264649001666853149799932669383560656905880,10163391271887503173703852019798930843764341453814845019748596,27626961809891063475833798728672729363853427172494316251339001,unique-min,True,2.718281828459045235360287471,0.001425584715812597648892595797,2.873978787078196860167473126,3,0000000000000496a5465517e8b4c30e8dd6619b2721fe6bbb74c75a0c23a2ef;00000000000020f6ff523500e63e197bed4eb28b23f670b494e24f3a471e287f;0000000000002ac515484367561e5a9a82f82473d9e402354d7a6329a307c5aa,75382;75930;75627,unspecified,True
38,43246870766561725070861386869077695524372774526710079316876591104,19883237859610916209374846005695218208828703418829580082937927,78371,10163391271887503173703852019798930843764341453814845019748596,27626961809891063475833798728672729363853427172494316251339001,10163391271887503173703852019798930843764341453814845019748596,19883237859610916209374846005695218208828703418829580082937927,new-second,True,1.956358594065845027156251321,0.0006388199035027546788278773829,1.287860925461553432517000804,2,0000000000000c5f9521598981f352e39c05a6c09989cf343955cb938f610047;0000000000000f5eabeb6f8b6cdfe20222ae7f6e91f5f378d98d9fde3603bd67,78371;77925,unspecified,True
39,37817516728945957090904676150631917288430706594442690521085247488,3342264548031500888453475867734264615319015108860282366513304,80184,10163391271887503173703852019798930843764341453814845019748596,19883237859610916209374846005695218208828703418829580082937927,3738902701508689077363975663445537044957775692218794292248256,10163391271887503173703852019798930843764341453814845019748596,unique-min,True,2.718281828459045235360287471,0.0005257679398180066113021502152,1.059948166673101328385134834,1,000000000000021474160fc5559ffaa94c7f7e53f9bb5fbb7179974f5bd6d098,80184,unspecified,False
40,29373101246077110899697012205905070265841442578602225419818106880,8155697022428019745895051849229302769686120226824961954828406,81308,3738902701508689077363975663445537044957775692218794292248256,10163391271887503173703852019798930843764341453814845019748596,3738902701508689077363975663445537044957775692218794292248256,8155697022428019745895051849229302769686120226824961954828406,new-second,True,2.181307638505036447541653292,0.0003460101535327279285360293291,0.6975564695219795039286351274,1,00000000000005134709f3bfe667a307202d7e23d001142afbd03e9a7c225076,81308,unspecified,False
41,20444488966645742314409346972440253478913291170842138088329707520,11454956287181942732449630478988818170398016179205695751854225,83275,3738902701508689077363975663445537044957775692218794292248256,8155697022428019745895051849229302769686120226824961954828406,3738902701508689077363975663445537044957775692218794292248256,8155697022428019745895051849229302769686120226824961954828406,neither,False,2.181307638505036447541653292,0.0003989190943209033013041755856,0.8042208941509410554292179806,0,,,unspecified,False
42,19563849255781403323327768731100757126732627316116500830377476096,5074449972607912005637169479605599533111997437631415592303898,86431,3738902701508689077363975663445537044957775692218794292248256,8155697022428019745895051849229302769686120226824961954828406,3738902701508689077363975663445537044957775692218794292248256,5074449972607912005637169479605599533111997437631415592303898,new-second,True,1.357203002517373522443794988,0.0004168758875515201643761122294,0.8404217893038646513822422545,1,00000000000003286811b9ea2c249ee89c4cf1c39087b876a827af8ce9c23d1a,86431,unspecified,False
43,12545026348036226200394850922278603223904369245268262607334146048,32075257657655116687296106352731608870330633659275225940020585,88072,3738902701508689077363975663445537044957775692218794292248256,5074449972607912005637169479605599533111997437631415592303898,3738902701508689077363975663445537044957775692218794292248256,5074449972607912005637169479605599533111997437631415592303898,neither,False,1.357203002517373522443794988,0.0004044989489720965347829973113,0.8154698811277466141225225796,0,,,unspecified,False
44,8719867261221084516486306056196045840260667577454435863762042880,618449065430873501327906809422022547298045046190308237890823,89665,3738902701508689077363975663445537044957775692218794292248256,5074449972607912005637169479605599533111997437631415592303898,1375465436425412553789890410765902532163172156261156427641794,3738902701508689077363975663445537044957775692218794292248256,unique-min,True,2.718281828459045235360287471,0.0005819411948132468043034376154,1.173193448743505557475730233,4,0000000000000062864d8512b92b2f6a0c2a9edcda82aae03063879b3869d507;00000000000000707bb468b0da76c6bf56f2325a1b4fe30daf49fd051a13f02c;00000000000002613d71e358030bdfd627634bb84cfd5017dc04c425c6484d42;00000000000002bf86e38fa4ec0f48d375b68cc251d2a125d816e96a0455e981,89665;89959;90427;90260,unspecified,True
45,5942996718418989293499865695368015163438891473576991811912597504,499841086082033462563690790966992541793027504953168342051868,91940,1375465436425412553789890410765902532163172156261156427641794,3738902701508689077363975663445537044957775692218794292248256,506005456102814796177780349794937614095283630387626292872297,1375465436425412553789890410765902532163172156261156427641794,unique-min,True,2.718281828459045235360287471,0.0006291275056438776563115232392,1.268321051378057355124030850,3,000000000000004fa1186f88c245f89757b74b7ef1fa87302ab340b635686c1c;0000000000000179d8110fc57982af1ba17248abdabe368b6cac06b38ab426cb;00000000000001e38e03a2b8fc28147a0ac1086f982c4a5a02ba1ce7f8fe644d,91940;91193;91284,unspecified,True
46,3926013280397599483741094494745234959951218212740030386090803200,10873399711833366775237580746772158526504262170211544095081719,94330,506005456102814796177780349794937614095283630387626292872297,1375465436425412553789890410765902532163172156261156427641794,506005456102814796177780349794937614095283630387626292872297,1375465436425412553789890410765902532163172156261156427641794,neither,False,2.718281828459045235360287471,0.0003503466081719710645630498728,0.7062987620746936661591085435,0,,,unspecified,False
47,3337321571246095014985518819479127172783474909736415373333364736,2289183420156765050240857477924970978449241916538081518241947,96128,506005456102814796177780349794937614095283630387626292872297,1375465436425412553789890410765902532163172156261156427641794,506005456102814796177780349794937614095283630387626292872297,1375465436425412553789890410765902532163172156261156427641794,neither,False,2.718281828459045235360287471,0.0004121465094272706968866911612,0.8308873630053777249235693810,0,,,unspecified,False
48,2200419182034594781720344474937177839165432393990533906392154112,1548334185959269425889951224162946827002236287778615943316377,98378,506005456102814796177780349794937614095283630387626292872297,1375465436425412553789890410765902532163172156261156427641794,506005456102814796177780349794937614095283630387626292872297,1375465436425412553789890410765902532163172156261156427641794,neither,False,2.718281828459045235360287471,0.0006250924585894596226211022857,1.260186396516350599204142208,0,,,unspecified,False
49,1861311314983800126815643622927230076368334845814253369901973504,1208809089261672952867593775996331668547428149634860413699075,100120,506005456102814796177780349794937614095283630387626292872297,1375465436425412553789890410765902532163172156261156427641794,506005456102814796177780349794937614095283630387626292872297,1208809089261672952867593775996331668547428149634860413699075,new-second,True,2.388925009962849323277378913,0.0007389765620359879885977510857,1.489776749064551785013066189,1,00000000000000c0930bc3046ce0fab487933b847c7226bdf0e86f4a7c094403,100120,unspecified,False
50,1653206561150525499452195696179626311675293455763937233695932416,51513992047619721142253113510155838889202293428317283079697,101777,506005456102814796177780349794937614095283630387626292872297,1208809089261672952867593775996331668547428149634860413699075,186149004420804295878679231933824560806529768260682405117094,506005456102814796177780349794937614095283630387626292872297,unique-min,True,2.718281828459045235360287471,0.0007311905950944324393751641666,1.474080239710375797780330960,2,000000000000000834e72c05564b54cc21ac27fb0cbe4ec686bfe607273ad611;000000000000004e4bb69992d9de8d7fb6474f2b2328a9ef24178dfb36f310a2,101777;102750,unspecified,True
51,1462200632444444190489436459820840230299714881944341127503020032,2093311665446566232350850259008609513785006820001071789162324,104011,186149004420804295878679231933824560806529768260682405117094,506005456102814796177780349794937614095283630387626292872297,186149004420804295878679231933824560806529768260682405117094,506005456102814796177780349794937614095283630387626292872297,neither,False,2.718281828459045235360287471,0.0003460574731505187604518681036,0.6976518658714458210709660967,0,,,unspecified,False
52,1224744150896501443874292381730317417444978877835711165914677248,570030706869195039872775931928812767507653418357947531627534,104995,186149004420804295878679231933824560806529768260682405117094,506005456102814796177780349794937614095283630387626292872297,186149004420804295878679231933824560806529768260682405117094,506005456102814796177780349794937614095283630387626292872297,neither,False,2.718281828459045235360287471,0.0004131519678884961078819917678,0.8329143672632081534900954037,0,,,unspecified,False
53,1036989760889350435547200084292752907272941324136347429599444992,539069778679505926481340982304209466954827537084447978194827,107249,186149004420804295878679231933824560806529768260682405117094,506005456102814796177780349794937614095283630387626292872297,186149004420804295878679231933824560806529768260682405117094,506005456102814796177780349794937614095283630387626292872297,neither,False,2.718281828459045235360287471,0.0004879560774725980381422686153,0.9837194521847576448948135283,0,,,unspecified,False
54,739430030225080220618328322475016688484025266646974337550123008,226245792570664031910744183590507628830030348858878430519740,110501,186149004420804295878679231933824560806529768260682405117094,506005456102814796177780349794937614095283630387626292872297,186149004420804295878679231933824560806529768260682405117094,226245792570664031910744183590507628830030348858878430519740,new-second,True,1.215401571846271222918464037,0.0006843182389397794622759220003,1.379585569702595395948258752,2,00000000000000240b044a3090d3ae4f9b342a840640240304eaa8f68a0fa1bc;000000000000003d90cb83a72239d34e00819ebbbf228d41505d63ad089bd898,110501;109456,unspecified,True
55,484975157177710342494716926626447514974484083994735770500857856,382967082282480501869296746565407633131711441979811555318627,111884,186149004420804295878679231933824560806529768260682405117094,226245792570664031910744183590507628830030348858878430519740,186149004420804295878679231933824560806529768260682405117094,226245792570664031910744183590507628830030348858878430519740,neither,False,1.215401571846271222918464037,0.0004665100659738749634742504443,0.9404842930033319263640888957,0,,,unspecified,False
56,353833947722011807976659613996792948209273674048993161457434624,41897617541610872253602811890029173846524253723014101436888,114335,186149004420804295878679231933824560806529768260682405117094,226245792570664031910744183590507628830030348858878430519740,68480391720945830618845225758816050800632592882184463313816,186149004420804295878679231933824560806529768260682405117094,unique-min,True,2.718281828459045235360287471,0.0006394123402438849997868343163,1.289055277931672159570257982,1,0000000000000006acb7899a26faa6290030e25ae41c8b3f62d69809994b89d8,114335,unspecified,False
57,390843739553851677760235428436025349398613161749553108945469440,387655291420923132679193190558359297840905716334745654698213,115076,68480391720945830618845225758816050800632592882184463313816,186149004420804295878679231933824560806529768260682405117094,68480391720945830618845225758816050800632592882184463313816,186149004420804295878679231933824560806529768260682405117094,neither,False,2.718281828459045235360287471,0.0004762747501937564014784697249,0.9601698963906129053805949655,0,,,unspecified,False
58,327394795212563108599383268946242257264650552916910648089116672,79525547564285342718373405953918473416159747536820939010485,117067,68480391720945830618845225758816050800632592882184463313816,186149004420804295878679231933824560806529768260682405117094,68480391720945830618845225758816050800632592882184463313816,79525547564285342718373405953918473416159747536820939010485,new-second,True,1.161289320428363924110075094,0.0005685765538818230024360472692,1.146250332625755172911071295,1,000000000000000cab4d7514a0e7eaf75e14817f168f0c719dd4ea8690b431b5,117067,unspecified,False
59,291935447509363748964474894494542149680088347011133317125767168,156394104586814652931835116334682125298511324145846259013511,120590,68480391720945830618845225758816050800632592882184463313816,79525547564285342718373405953918473416159747536820939010485,68480391720945830618845225758816050800632592882184463313816,79525547564285342718373405953918473416159747536820939010485,neither,False,1.161289320428363924110075094,0.0002724079869120195919785016579,0.5491745016146314974286593424,0,,,unspecified,False
60,245823858161213192073337185391658632187400443916100519594033152,276950612618701094676588037091969242424375998669266234532465,122562,68480391720945830618845225758816050800632592882184463313816,79525547564285342718373405953918473416159747536820939010485,68480391720945830618845225758816050800632592882184463313816,79525547564285342718373405953918473416159747536820939010485,neither,False,1.161289320428363924110075094,0.0003235062217278026450062855602,0.6521885430032501323326716893,0,,,unspecified,False
61,171262555713783851185422181139260521316022447660158187451973632,115243850992183283999035441737722814019166003347578873555928,122994,68480391720945830618845225758816050800632592882184463313816,79525547564285342718373405953918473416159747536820939010485,68480391720945830618845225758816050800632592882184463313816,79525547564285342718373405953918473416159747536820939010485,neither,False,1.161289320428363924110075094,0.0004643487143633979365020430880,0.9361270081566102399881188653,0,,,unspecified,False
